TickerId;fund_asset_class_focus;cj_micro_geo;exch_code;cj_micro_asset_class;custom_asset_class_2;n_group;c_equity_type;cj_strategy;fund_mkt_cap_focus;fund_incept_dt;fund_expense_ratio;exchange_geography;front_load;cj_eur_hedged;n_gics_2;n_gics_3;n_gics_1;profilo_duration;gics_industry_group;equity_sectors;is_filled;c_fund_strategy;currency_hedged_indicator;res_update_asset_class;esignal_ticker;etf_undl_index_ticker;dvd_currency;ravenna_currency;back_load;valeur_macro;custom_asset_class;c_fund_geo_focus_1;c_fund_geo_focus_2;company_name;n_bics_1;n_bics_2;c_fixed_income_risk;i_sector;c_fund_mkt_cap_focus;fund_geo_focus;profilo_asset_class;n_bics_3;fund_euro_direct_ucits;i_sub_group;i_group;is_customised;alive;georgia_micro_asset_class;fund_typ;fund_rtg_class_focus;economic_association;fund_benchmark_prim;c_fund_industry_focus;fund_maturity_band_focus;c_fund_typ;fund_total_assets_crncy;cj_asset_class;n_icb_3;n_icb_2;n_icb_1;gics_industry;exchange_country;fund_industry_focus;currency;profilo_currency;credinvest_duration;fund_assets_usd;gics_sector;replication_strategy;ticker;n_sub_group;fund_strategy;c_economic_association;profilo_id;c_fund_rtg_class_focus;c_fund_asset_class_focus;last_val;fx_exposure;cj_macro_geo;fund_open_shr_class;n_sector;isin;;;
3001;;Europe;NA;null;null;Healthcare-Products;null;null;;;;Europe;;null;Health Care Equipment & Servic;Health Care Equipment & Suppli;Health Care;null;3510;null;false;;;null;PHIA-EEB;;EUR;null;;Demographics;Single Stock;;;Koninklijke Philips NV;Health Care;Health Care;null;10005;;;null;Medical Equipment & Devices;;117;20041;false;true;null;;;;;;;;;Single Stock;Medical Equipment and Services;Health Care;Health Care;351010;Netherlands;;EUR;null;null;;35;;PHIA NA Equity;Medical Products;;;null;;;null;null;null;;Consumer; Non-cyclical;NL0000009538;;
3000;;null;IM;null;null;Banks;null;null;;;;Europe;;null;Banks;Banks;Financials;null;4010;null;false;;;null;ISP-MIL;;EUR;null;;null;Single Stock;;;Intesa Sanpaolo SpA;Financials;Banking;null;10008;;;null;Banking;;675;20051;false;true;null;;;;;;;;;null;Banks;Banks;Financials;401010;Italy;;EUR;null;null;;40;;ISP IM Equity;Commer Banks Non-US;;;null;;;null;null;null;;Financial;IT0000072618;;;
2999;;Europe;FP;null;null;Pharmaceuticals;null;null;;;;Europe;;null;Pharmaceuticals; Biotechnology;Pharmaceuticals;Health Care;null;3520;null;false;;;null;SAN-EEB;;EUR;null;;Technology;Single Stock;;;Sanofi;Health Care;Health Care;null;10005;;;null;Biotech & Pharma;;126;20044;false;true;null;;;;;;;;;Single Stock;Pharmaceuticals and Biotechnology;Health Care;Health Care;352020;France;;EUR;null;null;;35;;SAN FP Equity;Medical-Drugs;;;null;;;null;null;null;;Consumer; Non-cyclical;FR0000120578;
2990;;null;FP;null;null;Apparel;null;null;;;;Europe;;null;Consumer Durables & Apparel;Textiles; Apparel & Luxury Goo;Consumer Discretionary;null;2520;null;false;;;null;MC-EEB;;EUR;null;;null;Single Stock;;;LVMH Moet Hennessy Louis Vuitton SE;Consumer Discretionary;Consumer Discretionary Products;null;10004;;;null;Apparel & Textile Products;;23;20019;false;true;null;;;;;;;;;null;Personal Goods;Consumer Products and Services;Consumer Discretionary;252030;France;;EUR;null;null;;25;;MC FP Equity;Textile-Apparel;;;null;;;null;null;null;;Consumer; Cyclical;FR0000121014;
2982;;Europe;IM;null;null;Electric;null;null;;;;Europe;;null;Utilities;Electric Utilities;Utilities;null;5510;null;false;;;null;ENEL-MIL;;EUR;null;;Climate change;Single Stock;;;Enel SpA;Utilities;Utilities;null;10014;;;null;Electric Utilities;;265;20110;false;true;null;;;;;;;;;Single Stock;Electricity;Utilities;Utilities;551010;Italy;;EUR;null;null;;55;;ENEL IM Equity;Electric-Integrated;;;null;;;null;null;null;;Utilities;IT0003128367;;;
2977;;null;SQ;null;null;Electric;null;null;;;;Europe;;null;Utilities;Electric Utilities;Utilities;null;5510;null;false;;;null;ELE-MAC;;EUR;null;;null;Single Stock;;;Endesa SA;Utilities;Utilities;null;10014;;;null;Electric Utilities;;265;20110;false;true;null;;;;;;;;;null;Electricity;Utilities;Utilities;551010;Spain;;EUR;null;null;;55;;ELE SQ Equity;Electric-Integrated;;;null;;;null;null;null;;Utilities;ES0130670112;;;
2965;;null;FP;null;null;Insurance;null;null;;;;Europe;;null;Insurance;Insurance;Financials;null;4030;null;false;;;null;CS-EEB;;EUR;null;;null;Single Stock;;;AXA SA;Financials;Insurance;null;10008;;;null;Insurance;;164;20055;false;true;null;;;;;;;;;null;Non-life Insurance;Insurance;Financials;403010;France;;EUR;null;null;;40;;CS FP Equity;Life/Health Insurance;;;null;;;null;null;null;;Financial;FR0000120628;;;
2961;;null;NA;null;null;Banks;null;null;;;;Europe;;null;;;;null;;null;false;;;null;null;;;null;;null;Single Stock;;;RBS Holdings NV;Financials;Banking;null;0;;;null;Banking;;0;0;false;false;null;;;;;;;;;null;Banks;Banks;Financials;;Netherlands;;EUR;null;null;;;;3577044Z NA Equity;Commer Banks Non-US;;;null;;;2,00804E+13;null;null;;Financial;;;;
2959;;Europe;FP;null;null;Media;null;null;;;;Europe;;null;Media & Entertainment;Media;Communication Services;null;5020;null;false;;;null;VIV-EEB;;EUR;null;;Technology;Single Stock;;;Vivendi SE;Communications;Media;null;10003;;;null;Entertainment Content;;307;20016;false;true;null;;;;;;;;;Single Stock;Media;Media;Consumer Discretionary;502010;France;;EUR;null;null;;50;;VIV FP Equity;Multimedia;;;null;;;null;null;null;;Communications;FR0000127771;;;
2951;;null;IM;null;null;Insurance;null;null;;;;Europe;;null;Insurance;Insurance;Financials;null;4030;null;false;;;null;G-MIL;;EUR;null;;null;Single Stock;;;Assicurazioni Generali SpA;Financials;Insurance;null;10008;;;null;Insurance;;165;20055;false;true;null;;;;;;;;;null;Non-life Insurance;Insurance;Financials;403010;Italy;;EUR;null;null;;40;;G IM Equity;Multi-line Insurance;;;null;;;null;null;null;;Financial;IT0000062072;;;
